,Facility Name,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Region Name,Province,location,Hospital Licensing Status,Service Capability,Bed Capacity,lat,lon,City/Municipality Name,code,codenan
1345,GIG OCA ROBLES SEAMEN'S HOSPITAL - DAVAO,Private,,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 2,,7.0949038999999985,125.63722790000001,,112402000,0
1346,MALITA DISTRICT HOSPITAL,Government,Local Government Unit,REGION XI (DAVAO REGION),Davao Occidental,MALITA,With License,Level 1,18.0,6.4139949,125.6049578,,118603000,0
1347,ST. JOHN OF THE CROSS HOSPITAL,Private,,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 1,30.0,7.017703,125.502475,,112402000,0
1348,"UNITED DOCTOR'S HOSPITAL OF TAGUM, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Norte,TAGUM,With License,Level 1,20.0,7.448257099999998,125.8026831,,112319000,0
1349,COMPOSTELA VALLEY PROVINCIAL HOSPITAL - MARAGUSAN,Government,Local Government Unit,REGION XI (DAVAO REGION),Compostela Valley,MARAGUSAN,With License,Level 1,10.0,7.318462400000001,126.12151840000001,,118205000,0
1350,TADECO HOSPITAL,Private,,REGION XI (DAVAO REGION),Davao Del Norte,PANABO,With License,Level 1,30.0,7.396254399999999,125.5799318,,112315000,0
1351,"BROKENSHIRE INTEGRATED HEALTH MINISTRIES, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 3,,7.0741894,125.59723410000001,,112402000,0
1352,MEDICAL CENTER OF DIGOS COOPERATIVE HOSPITAL,Private,,REGION XI (DAVAO REGION),Davao Del Sur,DIGOS,With License,Level 2,101.0,6.762623,125.344343,,112403000,0
1353,MASONGSONG CLINIC,Private, ,REGION XI (DAVAO REGION),Davao Del Sur,DIGOS,Without License,0,,6.748713,125.357619,,112403000,0
1354,"ST. CAMILLUS HOSPITAL OF MATI FOUNDATION, INC.",Private,,REGION XI (DAVAO REGION),Davao Oriental,MATI,With License,Level 1,50.0,6.9603036,126.20371029999998,,112509000,0
1355,"RICARDO LIMSO MEDICAL CENTER, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 2,85.0,7.0705034,125.60695030000001,,112402000,0
1356,DAVAO MEDICAL SCHOOL FOUNDATION HOSPITAL,Private,,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 2,,7.0856204,125.6070121,,112402000,0
1357,PAULINO HOSPITAL,Private,,REGION XI (DAVAO REGION),Davao Del Sur,DIGOS,With License,Level 1,60.0,6.7430856,125.35545320000001,,112403000,0
1358,COMPOSTELA VALLEY PROVINCIAL HOSPITAL - LAAK,Government,Local Government Unit,REGION XI (DAVAO REGION),Compostela Valley,LAAK,With License,Level 1,10.0,7.822625200000001,125.78759070000001,,118202000,0
1359,DAVAO DEL NORTE HOSPITAL-IGACOS ZONE,Government,Local Government Unit,REGION XI (DAVAO REGION),Davao Del Norte,SAMAL,With License,Level 1,25.0,7.075005900000001,125.70898559999999,,112317000,0
1360,DAVAO ORIENTAL PROVINCIAL MEDICAL CENTER,Government,Local Government Unit,REGION XI (DAVAO REGION),Davao Oriental,MATI,With License,Level 2,100.0,6.9443481,126.24316670000002,,112509000,0
1361,MABAMA DOCTORS HOSPITAL,Private,,REGION XI (DAVAO REGION),Davao Del Sur,BANSALAN,With License,Level 1,34.0,6.786424599999998,125.2102328,,112401000,0
1362,COMMUNITY HEALTH DEVELOPMENT COOPERATIVE HOSPITAL,Private, ,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,Without License,0,,7.190708,125.45534099999999,,112402000,0
1363,"GOOD SHEPHERD HOSPITAL OF PANABO CITY, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Norte,PANABO,With License,Level 1,,7.29402,125.678224,,112315000,0
1364,"METRO DAVAO MEDICAL AND RESEARCH CENTER, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 2,135.0,7.106665,125.64650400000001,,112402000,0
1365,GONZALES MARANAN MEDICAL CENTER INCORPORATED GUIHING SATELLITE,Private,,REGION XI (DAVAO REGION),Davao Del Sur,HAGONOY,With License,Level 1,,6.6685034,125.34951720000001,,112404000,0
1366,PAULITO MONTERO CLINIC,Private,,REGION XI (DAVAO REGION),Davao Occidental,MALITA,Without License,0,,6.412228,125.6105679,,118603000,0
1367,"CURE PHILIPPINES, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Sur,DAVAO,With License,Level 1,,7.099435400000001,125.6273076,,112402000,0
1368,"AQUINO MEDICAL SPECIALISTS HOSPITAL, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Norte,TAGUM,With License,Level 1,,7.447491299999998,125.7982143,,112319000,0
1369,"METROPOLITAN POLYMEDIC COMMUNITY HOSPITAL, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Norte,SANTO TOMAS,With License,Level 1,30.0,7.522693899999998,125.62674059999999,,112318000,0
1370,MEDCORE HOSPITAL INC.,Private,,REGION XI (DAVAO REGION),Davao Del Sur,SANTA CRUZ,With License,Level 1,30.0,6.8392279999999985,125.40846570000001,,112412000,0
1371,DOCTORS COMMUNITY HOSPITAL,Private,,REGION XI (DAVAO REGION),Compostela Valley,MAWAB,With License,Level 1,30.0,7.5105388999999985,125.9170047,,118206000,0
1372,ST. BENEDICT HOSPITAL OF DAVAO DEL SUR,Private,,REGION XI (DAVAO REGION),Davao Del Sur,MATANAO,With License,Level 2,138.0,6.755309200000001,125.2816369,,112410000,0
1373,"MARPE MEDICAL CLINIC AND HOSPITAL, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Sur,SANTA CRUZ,With License,Level 1,30.0,6.839288099999999,125.4170365,,112412000,0
1374,"MINDANAO FOUNDATION FOR MEDICAL DISASTER PREPAREDNESS AND RESPONSE, INC.",Private,,REGION XI (DAVAO REGION),Davao Del Norte,TAGUM,With License,Level 1,19.0,7.463189999999999,125.78588559999999,,112319000,0
1375,"ANTIPAS MEDICAL SPECIALISTS HOSPITAL, INC.",Private,,REGION XII (SOCCSKSA RGEN),Cotabato,ANTIPAS,With License,Level 1,,7.244252499999999,125.05592469999999,,124715000,0
1376,BIRHEN SA REGLA MEDICAL CLINIC,Private,,REGION XII (SOCCSKSA RGEN),Cotabato,TULUNAN,With License,Level 1,25.0,6.793434299999999,124.89383640000001,,124714000,0
1377,"COTABATO PUERICULTURE CENTER AND GENERAL HOSPITAL FOUNDATION, INCORPORATED",Private,,REGION XII (SOCCSKSA RGEN),Maguindanao,COTABATO,With License,Level 1,,7.224195399999998,124.2467215,,129804000,0
1378,COTABATO REGIONAL AND MEDICAL CENTER,Government,Department Of Health,REGION XII (SOCCSKSA RGEN),Maguindanao,COTABATO,With License,Level 3,375.0,7.200235900000001,124.23628980000001,,129804000,0
1379,DR. AMADO B. DIAZ PROVINCIAL FOUNDATION HOSPITAL,Government,Local Government Unit,REGION XII (SOCCSKSA RGEN),Cotabato,MIDSAYAP,With License,Level 1,50.0,7.131799999999999,124.525834,,124709000,0
1380,JACALAN HOSPITAL,Private, ,REGION XII (SOCCSKSA RGEN),Sultan Kudarat,TACURONG,Without License,0,,6.6857386,124.67675690000002,,126511000,0
1381,"KABACAN MEDICAL SPECIALIST HOSPITAL, INC.",Private,,REGION XII (SOCCSKSA RGEN),Cotabato,KABACAN,With License,Level 1,,7.105777199999999,124.8314673,,124703000,0
1382,KABACAN POLYMEDIC COOPERATIVE HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Cotabato,KABACAN,With License,Level 1,,7.106041800000001,124.8319586,,124703000,0
1383,DR. CORNELIO T. MARTINEZ SR. MEMORIAL HOSPITAL,Government,Local Government Unit,REGION XII (SOCCSKSA RGEN),Sarangani,KIAMBA,With License,Level 1,50.0,6.023392599999998,124.6414028,,128003000,0
1384,KIDAPAWAN DOCTORS HOSPITAL INC.,Private,,REGION XII (SOCCSKSA RGEN),Cotabato,KIDAPAWAN,With License,Level 2,,7.008896000000001,125.08955959999999,,124704000,0
1385,"KIDAPAWAN MEDICAL SPECIALIST CENTER, INC.",Private,,REGION XII (SOCCSKSA RGEN),Cotabato,KIDAPAWAN,With License,Level 2,,7.0219628,125.09331540000001,,124704000,0
1386,LARIOSA CLINIC AND HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),South Cotabato,SURALLAH,With License,Level 1,,6.371821,124.74895900000001,,126313000,0
1387,MATIAS CLINIC AND HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Sultan Kudarat,ISULAN,With License,Level 1,27.0,6.634032700000001,124.598104,,126504000,0
1388,"MAKILALA MEDICAL SPECIALIST HOSPITAL, INC.",Private,,REGION XII (SOCCSKSA RGEN),Cotabato,MAKILALA,With License,Level 1,60.0,6.9570991,125.0910775,,124707000,0
1389,MIDSAYAP COMMUNITY DOCTORS HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Cotabato,MIDSAYAP,With License,Level 1,24.0,7.2040733999999995,124.5418605,,124709000,0
1390,MIDSAYAP DIAGNOSTIC CENTER AND HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Cotabato,MIDSAYAP,With License,Level 1,35.0,7.2092856,124.5379874,,124709000,0
1391,MINDANAO MEDICAL CENTER,Private,,REGION XII (SOCCSKSA RGEN),South Cotabato,GENERAL SANTOS,With License,Level 2,100.0,6.127866500000001,125.1601313,,126303000,0
1392,NAQUITQUITAN MEDICAL CLINIC AND HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Cotabato,CARMEN,Without License,0,,7.204796200000001,124.7929168,,124702000,0
1393,COTABATO PROVINCIAL HOSPITAL,Government,Local Government Unit,REGION XII (SOCCSKSA RGEN),Cotabato,KIDAPAWAN,With License,Level 1,50.0,7.083303999999999,125.02771100000001,,124704000,0
1394,NOTRE DAME HOSPITAL AND SCHOOL OF MIDWIFERY INC.,Private,,REGION XII (SOCCSKSA RGEN),Maguindanao,COTABATO,With License,Level 2,100.0,7.2105098,124.2440033,,129804000,0
1395,ROLDAN MEDICAL CLINIC,Private,,REGION XII (SOCCSKSA RGEN),Cotabato,M'LANG,With License,Level 1,50.0,6.946301999999998,124.88670630000001,,124710000,0
1396,"ST. ELIZABETH HOSPITAL, INC.",Private,,REGION XII (SOCCSKSA RGEN),South Cotabato,GENERAL SANTOS,With License,Level 3,248.0,6.1188129999999985,125.1666847,,126303000,0
1397,DR. ARTURO P. PINGOY MEDICAL CENTER,Private,,REGION XII (SOCCSKSA RGEN),South Cotabato,KORONADAL,With License,Level 2,65.0,6.505343099999998,124.8370635,,126306000,0
1398,"BONTUYAN MEDICAL HOSPITAL, INC.",Private,,REGION XII (SOCCSKSA RGEN),South Cotabato,POLOMOLOK,With License,Level 1,,6.220758999999999,125.0641131,,126312000,0
1399,"ALLAH VALLEY MEDICAL SPECIALISTS CENTER, INC.",Private,,REGION XII (SOCCSKSA RGEN),South Cotabato,KORONADAL,With License,Level 2,100.0,6.478536999999998,124.867443,,126306000,0
1400,"M'LANG DOCTORS HOSPITAL, INC.",Private,,REGION XII (SOCCSKSA RGEN),Cotabato,M'LANG,With License,Level 1,25.0,6.9459491999999985,124.8847884,,124710000,0
1401,AMOIL CLINIC AND HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Sultan Kudarat,TACURONG,Without License,0,,6.676568799999999,124.64972069999999,,126511000,0
1402,CRUZADO MEDICAL CLINIC HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Cotabato,PIKIT,With License,Level 1,30.0,7.055624000000001,124.6758415,,124712000,0
1403,HERAMIL HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),South Cotabato,POLOMOLOK,With License,Level 1,50.0,6.217479,125.0676848,,126312000,0
1404,HOLY NAZARENE CLINIC AND HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Sultan Kudarat,ISULAN,With License,Level 1,44.0,6.6295546000000005,124.59813829999999,,126504000,0
1405,TIBURCIO B. AQUINO MEMORIAL HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Sarangani,KIAMBA,With License,Level 1,25.0,5.9887953000000005,124.63366359999999,,128003000,0
1406,ALEOSAN DISTRICT HOSPITAL,Government,Local Government Unit,REGION XII (SOCCSKSA RGEN),Cotabato,ALEOSAN,With License,Level 1,,7.1663393,124.5730268,,124717000,0
1407,DR. JORGE P. ROYECA HOSPITAL,Government,Local Government Unit,REGION XII (SOCCSKSA RGEN),South Cotabato,GENERAL SANTOS,With License,Level 1,100.0,6.125741400000001,125.1856488,,126303000,0
1408,LANDERO CLINIC AND HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),South Cotabato,SURALLAH,With License,Level 1,,6.3740350999999995,124.746153,,126313000,0
1409,M'LANG DISTRICT HOSPITAL,Government,Local Government Unit,REGION XII (SOCCSKSA RGEN),Cotabato,M'LANG,With License,Level 1,30.0,6.9480314,124.8719652,,124710000,0
1410,SURALLAH COMMUNITY HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),South Cotabato,SURALLAH,With License,Level 1,50.0,6.374196400000001,124.7493219,,126313000,0
1411,COTABATO MEDICAL SPECIALISTS HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Maguindanao,COTABATO,With License,Level 1,,7.2204937000000005,124.2500014,,129804000,0
1412,ST. LOUIS HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Sultan Kudarat,TACURONG,With License,Level 2,124.0,6.678588,124.6671,,126511000,0
1413,GALINATO FAMILY CLINIC AND HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Sultan Kudarat,ISULAN,With License,Level 1,,6.631385300000001,124.5991874,,126504000,0
1414,NORALA DISTRICT HOSPITAL,Government,Local Government Unit,REGION XII (SOCCSKSA RGEN),South Cotabato,NORALA,With License,Level 1,40.0,6.5224634,124.6612827,,126311000,0
1415,SOCOMEDICS MEDICAL CENTER,Private,,REGION XII (SOCCSKSA RGEN),South Cotabato,KORONADAL,With License,Level 1,65.0,6.491689599999999,124.8452632,,126306000,0
1416,SANDIG MEDICAL CLINIC AND HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Sultan Kudarat,TACURONG,With License,Level 1,60.0,6.689332599999998,124.674765,,126511000,0
1417,SOUTH M'LANG MEDICAL CLINIC AND HOSPITAL,Private, ,REGION XII (SOCCSKSA RGEN),Cotabato,M'LANG,Without License,0,,6.948835000000001,124.87848799999999,,124710000,0
1418,LU CLINIC AND HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Sultan Kudarat,TACURONG,With License,Level 1,20.0,6.688772900000001,124.6796496,,126511000,0
1419,"GENERAL SANTOS DOCTORS HOSPITAL, INC.",Private,,REGION XII (SOCCSKSA RGEN),South Cotabato,GENERAL SANTOS,With License,Level 2,280.0,6.1203167,125.1782618,,126303000,0
1420,RO DIAGAN COOPERATIVE HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),South Cotabato,GENERAL SANTOS,With License,Level 1,18.0,6.1145153,125.16706470000001,,126303000,0
1421,UNIVERSITY OF SOUTHERN MINDANAO (USM) HOSPITAL,Government,University Hospital,REGION XII (SOCCSKSA RGEN),Cotabato,KABACAN,With License,Level 1,70.0,7.122607,124.83042209999999,,124703000,0
1422,"DR. RAMON PESANTE CLINIC AND HOSPITAL, INC.",Private,,REGION XII (SOCCSKSA RGEN),Cotabato,LIBUNGAN,With License,Level 1,55.0,7.2412282999999995,124.5191578,,124705000,0
1423,SOCSARGEN COUNTY HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),South Cotabato,GENERAL SANTOS,With License,Level 2,240.0,6.118316,125.189842,,126303000,0
1424,ISULAN DOCTORS SPECIALIST CENTER INC.,Private,,REGION XII (SOCCSKSA RGEN),Sultan Kudarat,ISULAN,With License,Level 1,,6.637251299999999,124.59905239999999,,126504000,0
1425,QUIJANO CLINIC AND HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Sultan Kudarat,TACURONG,With License,Level 1,53.0,6.685442299999999,124.6693858,,126511000,0
1426,LAMBAYONG DISTRICT HOSPITAL,Government,Local Government Unit,REGION XII (SOCCSKSA RGEN),Sultan Kudarat,LAMBAYONG,With License,Level 1,25.0,6.7501948999999986,124.6528886,,126508000,0
1427,HOWARD HUBBARD MEMORIAL HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),South Cotabato,POLOMOLOK,With License,Level 2,,6.246758199999999,125.09489180000001,,126312000,0
1428,"SULTAN KUDARAT MEDICAL SPECIALIST CENTER, INC.",Private,,REGION XII (SOCCSKSA RGEN),Sultan Kudarat,TACURONG,With License,Level 1,25.0,6.657106,124.700929,,126511000,0
1429,SULTAN KUDARAT PROVINCIAL HOSPITAL,Government,Local Government Unit,REGION XII (SOCCSKSA RGEN),Sultan Kudarat,ISULAN,With License,Level 1,120.0,6.643977499999999,124.608382,,126504000,0
1430,"DR. DOMINGO B. TAMONDONG MEMORIAL HOSPITAL AND COLLEGE FOUNDATION, INC.",Private,,REGION XII (SOCCSKSA RGEN),Sultan Kudarat,ESPERANZA,With License,Level 2,100.0,6.6783136,124.5652774,,126503000,0
1431,TOMBOC-SALAYOG HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Sultan Kudarat,TACURONG,With License,Level 1,100.0,6.6938147,124.70156159999999,,126511000,0
1432,SORILLA MEDICAL & MATERNITY CLINIC AND HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Cotabato,TULUNAN,With License,Level 1,55.0,6.836404399999998,124.8789697,,124714000,0
1433,SOUTH COTABATO PROVINCIAL HOSPITAL,Government,Local Government Unit,REGION XII (SOCCSKSA RGEN),South Cotabato,KORONADAL,With License,Level 3,200.0,6.4927649,124.83909890000001,,126306000,0
1434,"MADONNA GENERAL HOSPITAL, INC.",Private,,REGION XII (SOCCSKSA RGEN),Cotabato,KIDAPAWAN,With License,Level 1,82.0,7.021122900000001,125.08956640000001,,124704000,0
1435,"SULTAN KUDARAT DOCTORS HOSPITAL, INC.",Private,,REGION XII (SOCCSKSA RGEN),Sultan Kudarat,TACURONG,With License,Level 1,17.0,6.6865644999999985,124.6747452,,126511000,0
1436,TARANGOY MEDICAL CLINIC,Private, ,REGION XII (SOCCSKSA RGEN),Cotabato,MIDSAYAP,Without License,0,,7.133551,124.53068370000001,,124709000,0
1437,ANICETO T. PESANTE SR. MEMORIAL HOSPITAL CO.,Private,,REGION XII (SOCCSKSA RGEN),Cotabato,MIDSAYAP,With License,Level 2,,7.133551,124.53068370000001,,124709000,0
1438,JOHN MARK VILLANUEVA MEDICAL CLINIC,Private,,REGION XII (SOCCSKSA RGEN),Sultan Kudarat,ESPERANZA,With License,Level 1,36.0,6.702289200000001,124.5209416,,126503000,0
1439,MIDWAY HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Cotabato,KIDAPAWAN,With License,Level 1,100.0,7.009906699999998,125.0913274,,124704000,0
1440,CEM MEDICAL SPECIALIST HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Cotabato,M'LANG,With License,Level 1,,6.945347099999998,124.88766969999999,,124710000,0
1441,"M'LANG SPECIALISTS MEDICAL CENTER, INC.",Private,,REGION XII (SOCCSKSA RGEN),Cotabato,M'LANG,With License,Level 2,50.0,6.9391319000000005,124.8858571,,124710000,0
1442,"MINDANAO DOCTORS HOSPITAL AND CANCER CENTER, INC.",Private,,REGION XII (SOCCSKSA RGEN),Cotabato,KABACAN,With License,Level 2,50.0,7.1046143,124.83872140000001,,124703000,0
1443,GENSAN MEDICAL CENTER,Private,,REGION XII (SOCCSKSA RGEN),South Cotabato,GENERAL SANTOS,With License,Level 2,112.0,6.0824919999999985,125.14778059999999,,126303000,0
1444,MAKILALA MIDWAY HOSPITAL INCORPORATED,Private,,REGION XII (SOCCSKSA RGEN),Cotabato,MAKILALA,With License,Level 1,65.0,7.0089162,125.0883625,,124707000,0
1445,"MATALAM MIDWAY HOSPITAL, INC.",Private,,REGION XII (SOCCSKSA RGEN),Cotabato,MATALAM,With License,Level 1,48.0,7.0846887,124.9023467,,124708000,0
1446,DESERET SURGIMED HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Cotabato,KABACAN,With License,Level 1,50.0,7.109855199999998,124.8125155,,124703000,0
1447,"UNITED DOCTORS HOSPITAL OF COTABATO CITY, INC.",Private,,REGION XII (SOCCSKSA RGEN),Maguindanao,COTABATO,With License,Level 1,24.0,7.218987999999999,124.24841070000001,,129804000,0
1448,DR. R.A.M. ALBUTRA GENERAL HOSPITAL,Private,,REGION XII (SOCCSKSA RGEN),Cotabato,KABACAN,With License,Level 1,38.0,7.1131848,124.80588440000001,,124703000,0
1449,CLINICA JESUS NAZARENO,Private,,REGION XIII (CARAGA),Agusan Del Norte,MAGALLANES,Without License,0,,9.019103,125.51728159999999,,160208000,0
1450,DUAY HOSPITAL,Private, ,REGION XIII (CARAGA),Agusan Del Norte,CABADBARAN,Without License,0,,9.1151745,125.5274892,,160203000,0
1451,HOLY CHILD COLLEGES OF BUTUAN HOSPITAL CO.,Private,,REGION XIII (CARAGA),Agusan Del Norte,BUTUAN,With License,Level 1,48.0,8.941701,125.53783100000001,,160202000,0
1452,ISIDRO M. OLAN SR. MEMORIAL CLINIC AND HOSPITAL INC.,Private,,REGION XIII (CARAGA),Surigao Del Sur,CANTILAN,Without License,0,,9.3378403,125.9637344,,166805000,0
1453,PILAR DISTRICT HOSPITAL,Government,Local Government Unit,REGION XIII (CARAGA),Surigao Del Norte,PILAR,Without License,0,,14.792851999999998,120.8798932,,166716000,0
1454,RICO MEDICAL CLINIC AND HOSPITAL,Private, ,REGION XIII (CARAGA),Agusan Del Sur,TRENTO,Without License,0,,8.0448566,126.0635045,,160312000,0
1455,ST. VINCENT DE PAUL COLLEGE MATERNITY AND GENERAL HOSPITAL,Private,,REGION XIII (CARAGA),Surigao Del Sur,BISLIG,Without License,0,,8.210055800000001,126.28477509999999,,166803000,0
1456,SANTA MONICA MUNICIPAL HOSPITAL,Government,Local Government Unit,REGION XIII (CARAGA),Surigao Del Norte,SANTA MONICA,Without License,0,,10.0303439,126.03230239999999,,166721000,0
1457,"SURIGAO MEDICAL CENTER, INC.",Private,,REGION XIII (CARAGA),Surigao Del Norte,SURIGAO,With License,Level 1,50.0,9.781590800000002,125.48636609999998,,166724000,0
1458,CABADBARAN DISTRICT HOSPITAL,Government,Local Government Unit,REGION XIII (CARAGA),Agusan Del Norte,CABADBARAN,With License,Level 1,25.0,9.1143049,125.52764669999999,,160203000,0
1459,CARAGA REGIONAL HOSPITAL,Government,Department Of Health,REGION XIII (CARAGA),Surigao Del Norte,SURIGAO,With License,Level 2,150.0,9.784373,125.49003200000001,,166724000,0
1460,MIRANDA FAMILY HOSPITAL,Private,,REGION XIII (CARAGA),Surigao Del Norte,SURIGAO,With License,Level 1,35.0,9.781865,125.485909,,166724000,0
1461,BUTUAN MEDICAL CENTER,Government,Local Government Unit,REGION XIII (CARAGA),Agusan Del Norte,BUTUAN,With License,Level 2,100.0,8.9619431,125.5860993,,160202000,0
1462,BISLIG DISTRICT HOSPITAL,Government,Local Government Unit,REGION XIII (CARAGA),Surigao Del Sur,BISLIG,With License,Level 1,50.0,8.2047048,126.32380490000001,,166803000,0
1463,ANDRES SORIANO MEMORIAL HOSPITAL COOPERATIVE,Private,,REGION XIII (CARAGA),Surigao Del Sur,BISLIG,With License,Level 2,75.0,8.183432999999999,126.34101399999999,,166803000,0
1464,BUNAWAN DISTRICT HOSPITAL,Government,Local Government Unit,REGION XIII (CARAGA),Agusan Del Sur,BUNAWAN,With License,Level 1,50.0,8.1758147,125.9965378,,160302000,0
1465,"BUTUAN PUERICULTURE CENTER NO. 394, INC.",Private,,REGION XIII (CARAGA),Agusan Del Norte,BUTUAN,With License,Level 2,50.0,8.9481118,125.54466459999999,,160202000,0
1466,MANUEL J. SANTOS HOSPITAL,Private,,REGION XIII (CARAGA),Agusan Del Norte,BUTUAN,With License,Level 2,100.0,8.947095000000003,125.54083500000002,,160202000,0
1467,CARAGA HOSPITAL AND INFANT CARE LYING-IN CENTER,Private, ,REGION XIII (CARAGA),Agusan Del Norte,BUTUAN,Without License,0,,8.943789500000001,125.518194,,160202000,0
1468,"BUTUAN DOCTORS' HOSPITAL AND COLLEGE, INC.",Private,,REGION XIII (CARAGA),Agusan Del Norte,BUTUAN,With License,Level 2,150.0,8.943882,125.522248,,160202000,0
1469,UNITED DOCTORS MEDICAL CLINIC,Private, ,REGION XIII (CARAGA),Agusan Del Sur,BUNAWAN,Without License,0,,8.175949099999999,125.99392399999999,,160302000,0
